,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,35.0,4.8,Fog,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,18,7.573523734238649
1,33.0,4.7,Stormy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,13.970652591312666
2,23.0,4.9,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,31,10.563519849283493
3,25.0,5.0,Cloudy,Medium,2,Buffet,scooter,0.0,No,Urban,12,9.1214915437532
4,22.0,4.0,Stormy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,39,10.865866087612565
5,38.0,4.5,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,4.674151774158205
6,24.0,4.8,Sunny,Low,1,Meal,scooter,0.0,No,Urban,16,3.116147020119406
7,34.0,4.4,Sunny,Jam,1,Buffet,motorcycle,1.0,No,Urban,33,19.627331753502187
8,27.0,4.6,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,43,10.724189700664816
9,27.0,4.6,Stormy,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,29,16.90260949286334
10,22.0,4.5,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,16,7.651068542780796
11,21.0,4.5,Stormy,Medium,1,Snack,scooter,1.0,No,Urban,22,13.428939356190423
12,31.0,4.9,Stormy,Low,1,Drinks,scooter,1.0,No,,29,10.924144183851137
13,29.0,4.6,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,30,4.560903158073935
14,26.0,5.0,Sunny,Low,0,Buffet,motorcycle,1.0,No,Urban,28,13.217301980489346
15,36.0,4.9,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28,7.862668167467362
16,36.0,4.4,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,21,1.5126859728415616
17,38.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,No,Metropolitian,18,3.1049287720089502
18,34.0,4.1,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,34,4.537543599209553
19,20.0,4.6,Stormy,Medium,2,Snack,scooter,0.0,No,Metropolitian,29,19.661098170302207
20,39.0,4.9,Windy,High,0,Meal,motorcycle,0.0,No,Metropolitian,38,6.122094799442155
21,31.0,4.7,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,20.851557402555603
22,36.0,4.5,Stormy,Low,1,Snack,scooter,1.0,No,Metropolitian,28,1.5094675817485792
23,22.0,4.7,Fog,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,30,12.435256014883167
24,35.0,4.9,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,20,6.146764727290506
25,32.0,4.9,Windy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,27,7.5499671786712605
26,21.0,4.8,Sandstorms,High,2,Meal,electric_scooter,1.0,No,Metropolitian,17,1.4897806661060058
27,22.0,4.9,Stormy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,25,4.610339345133133
28,26.0,4.8,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,27,5.959019072120809
29,20.0,4.6,Stormy,Medium,1,Buffet,scooter,0.0,No,Metropolitian,28,7.683697910339948
30,33.0,4.9,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Urban,25,7.862668167467362
31,36.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,12.41848032806189
32,29.0,4.6,Sunny,Jam,1,Meal,motorcycle,0.0,No,Urban,13,4.538407907477421
33,30.0,4.9,Windy,High,1,Drinks,scooter,1.0,No,Metropolitian,26,1.5545771229208105
34,21.0,4.7,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,30,3.0644047281382125
35,38.0,4.4,Windy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,38,8.929054494964838
36,,,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,30,4.530103328700808
37,31.0,4.8,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,35,16.600272418838045
38,24.0,4.8,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,32,19.76238225553413
39,21.0,4.6,Fog,Jam,1,Meal,scooter,,No,Urban,30,19.042595484789768
40,21.0,4.8,Sandstorms,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,22,6.119039466421071
41,30.0,4.6,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,35,11.914594077095886
42,21.0,4.7,Cloudy,Low,2,Drinks,motorcycle,0.0,No,Metropolitian,16,3.10548530705921
43,36.0,4.6,Windy,Medium,2,Drinks,motorcycle,,No,Urban,24,10.906470984750944
44,33.0,4.2,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,45,13.6158334590668
45,39.0,4.9,Cloudy,High,1,Drinks,scooter,1.0,No,Metropolitian,32,1.489910970354406
46,31.0,4.8,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,19.618968653880124
47,,,,Low,1,Drinks,motorcycle,1.0,No,Urban,29,17655.22256075907
48,27.0,4.9,Windy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,19,9.074342228950233
49,32.0,4.8,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,21,3.0249845923555045
50,27.0,4.9,Fog,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,23,6.2425102719578485
51,22.0,4.9,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,7.448303503024418
52,26.0,4.8,Sandstorms,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,20,7.567716652555728
53,20.0,4.6,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,25,13.766116995769575
54,36.0,4.5,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,39,10.756895455418547
55,36.0,4.8,Stormy,High,2,Buffet,scooter,0.0,No,Metropolitian,26,6.210946741760357
56,26.0,4.7,Stormy,Medium,2,Drinks,electric_scooter,1.0,No,Urban,16,14.152800689506924
57,22.0,4.6,Windy,Jam,1,Drinks,motorcycle,1.0,No,Urban,20,10.905989056071514
58,35.0,4.9,Sunny,Jam,1,Buffet,scooter,1.0,No,Metropolitian,20,20.25308886852266
59,27.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,29,19.65882871745623
60,29.0,4.5,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,16,13.407238587912502
61,28.0,4.9,Stormy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,10.428262033869533
62,23.0,4.6,Fog,High,2,Buffet,scooter,1.0,No,Metropolitian,26,6.232403352119182
63,31.0,3.8,Sandstorms,Jam,2,Drinks,scooter,1.0,Yes,Metropolitian,42,13.763778585007291
64,36.0,4.8,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,27,7.762500242422377
65,,,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,20,13.681590426910821
66,34.0,4.5,Sunny,Jam,1,Buffet,scooter,1.0,No,Urban,24,9.074628631505853
67,,,,,3,Buffet,scooter,1.0,No,Metropolitian,15,7.719450234348075
68,36.0,4.8,Stormy,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,28,1.5725337265584898
69,34.0,4.7,Fog,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,22,1.5148048925665334
70,28.0,4.0,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,9.219691659204567
71,27.0,4.6,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,18,20.206420943726602
72,39.0,4.8,Stormy,Low,0,Snack,motorcycle,1.0,No,Urban,21,13.762097103354677
73,36.0,4.9,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,32,7.448937379782857
74,28.0,4.5,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20.851598740030827
75,33.0,4.1,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,43,12.464528059484621
76,34.0,5.0,Sunny,Medium,1,Snack,scooter,0.0,No,Urban,19,6.118711846640849
77,24.0,4.3,Stormy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,27,4.663310851502866
78,35.0,4.8,Sunny,Low,1,Snack,scooter,1.0,No,Metropolitian,17,1.5524290103805005
79,24.0,4.1,Fog,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,39,10.756990051240766
80,35.0,4.4,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,30,1.5524290103805005
81,28.0,4.3,Sunny,Jam,0,Meal,motorcycle,3.0,No,Semi-Urban,50,7.790160607276956
82,27.0,4.9,Sandstorms,Low,1,Buffet,scooter,0.0,No,Metropolitian,19,1.5263732162443304
83,36.0,4.9,Windy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,25,8.938197833249367
84,35.0,4.7,Cloudy,Low,0,Meal,motorcycle,1.0,No,Urban,23,9.157702643943018
85,32.0,4.2,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,40,16.63687503884221
86,38.0,4.8,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,25,10.906553214779871
